City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
77,Griffith,US,2021-04-07 20:16:21,41.5284,-87.4237,82.0,47,90,17.27
78,Taywarah,AF,2021-04-07 20:16:21,33.35,64.4167,42.06,39,2,4.32
79,Bom Jesus Da Lapa,BR,2021-04-07 20:16:21,-13.255,-43.4181,88.18,39,64,9.8
80,Mayumba,GA,2021-04-07 20:16:22,-3.432,10.6554,79.79,86,43,5.97
81,Hobart,AU,2021-04-07 20:12:41,-42.8794,147.3294,59.0,67,0,13.8
82,Qaanaaq,GL,2021-04-07 20:12:28,77.484,-69.3632,2.82,70,69,8.14
83,Trairi,BR,2021-04-07 20:09:22,-3.2778,-39.2689,81.59,73,93,11.14
84,Makkaveyevo,RU,2021-04-07 20:16:22,51.7533,113.9454,21.2,86,18,2.24
85,Ballina,AU,2021-04-07 20:16:23,-28.8667,153.5667,68.0,94,90,10.36
86,Pisco,PE,2021-04-07 20:12:59,-13.7,-76.2167,75.2,64,0,18.41
87,Solnechnyy,RU,2021-04-07 20:13:17,50.7214,136.6319,22.33,90,100,4.47
88,Tautira,PF,2021-04-07 20:16:23,-17.7333,-149.15,84.2,58,20,3.44
89,Mar Del Plata,AR,2021-04-07 20:12:58,-38.0023,-57.5575,80.6,65,40,11.5
90,Sao Gabriel Da Cachoeira,BR,2021-04-07 20:16:23,-0.1303,-67.0892,87.8,62,40,3.44
91,Olpad,IN,2021-04-07 20:16:24,21.3333,72.75,80.6,65,0,4.61
92,Kherson,UA,2021-04-07 20:16:24,46.6558,32.6178,39.2,93,75,13.42
93,Esperance,AU,2021-04-07 20:12:38,-33.8667,121.9,62.6,94,40,5.75
94,Quang Ngai,VN,2021-04-07 20:16:24,15.1167,108.8,72.05,92,51,3.65
95,Kruisfontein,ZA,2021-04-07 20:12:51,-34.0033,24.7314,63.0,85,100,5.06
96,Karratha,AU,2021-04-07 20:14:28,-20.7377,116.8463,80.2,68,5,6.91
97,Aklavik,CA,2021-04-07 20:12:27,68.2191,-135.0107,1.4,60,1,6.91
98,Makakilo City,US,2021-04-07 20:14:35,21.3469,-158.0858,75.2,50,40,10.36
99,Usakos,NA,2021-04-07 20:16:25,-22.0,15.6,79.3,31,30,2.95
100,Meulaboh,ID,2021-04-07 20:14:22,4.1363,96.1285,75.78,89,100,2.98
101,Tual,ID,2021-04-07 20:16:25,-5.6667,132.75,81.86,73,82,6.73
102,Detchino,RU,2021-04-07 20:16:25,54.8092,36.3075,39.2,100,100,2.24
103,Nelson Bay,AU,2021-04-07 20:12:51,-32.7167,152.15,63.0,100,40,3.15
104,Thompson,CA,2021-04-07 20:12:18,55.7435,-97.8558,44.6,45,20,8.05
105,Hofn,IS,2021-04-07 20:16:26,64.2539,-15.2082,28.4,74,90,18.41
106,Plouzane,FR,2021-04-07 20:16:26,48.3833,-4.6167,42.8,75,20,4.61
107,Kupang,ID,2021-04-07 20:16:26,-10.1667,123.5833,76.53,85,70,2.75
