City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
572,Cayenne,GF,4.9333,-52.3333,82.4,78,0,4.61,clear sky
573,Calvinia,ZA,-31.4707,19.776,73.42,30,94,1.83,overcast clouds
574,Nagapattinam,IN,10.7667,79.8333,80.11,80,16,5.53,few clouds
575,Igarka,RU,67.4667,86.5833,26.37,95,100,14.63,light snow
576,Ballina,AU,-28.8667,153.5667,62.6,63,17,8.05,few clouds
577,Esperance,AU,-33.8667,121.9,51.8,93,75,19.57,light rain
578,Port Hardy,CA,50.6996,-127.4199,50.0,57,1,5.75,clear sky
579,Alekseyevsk,RU,57.8406,108.3492,23.99,91,95,4.5,overcast clouds
580,Paidha,UG,2.4167,30.9855,60.96,89,97,5.21,light rain
581,Maun,BW,-19.9833,23.4167,69.8,56,0,6.91,clear sky
582,Roma,US,43.2128,-75.4557,48.2,87,90,6.53,mist
583,Lata,PT,40.1629,-8.3327,59.0,67,100,2.46,overcast clouds
584,Udachnyy,RU,66.4167,112.4,16.23,93,97,8.75,overcast clouds
585,Racine,US,42.7495,-88.0751,57.99,50,61,13.8,broken clouds
586,Salym,RU,60.0625,71.4789,32.45,90,7,8.37,clear sky
587,Kloulklubed,PW,7.0419,134.2556,77.0,88,90,3.44,overcast clouds
588,Bow Island,CA,49.8668,-111.3684,43.0,38,100,13.8,overcast clouds
589,Komsomolskiy,UZ,40.4272,71.7189,57.2,47,96,4.61,overcast clouds
590,Hami,CN,42.8,93.45,45.84,30,0,7.52,clear sky
591,North Las Vegas,US,36.1989,-115.1175,84.99,6,1,9.22,clear sky
592,Ulladulla,AU,-35.35,150.4667,55.99,76,0,9.22,clear sky
593,Vaitape,PF,-16.5167,-151.75,82.11,73,100,11.74,light rain
594,Tynda,RU,55.1667,124.7167,11.48,78,70,3.8,broken clouds
595,Dolzhanskaya,RU,46.6311,37.8039,45.0,100,100,3.53,overcast clouds
596,Blyth,GB,55.1271,-1.5086,36.0,86,42,6.85,scattered clouds
597,Ossora,RU,59.2353,163.0719,12.11,63,96,4.88,overcast clouds
598,Mount Gambier,AU,-37.8333,140.7667,57.2,54,90,17.27,overcast clouds
599,Fort Walton Beach,US,30.4058,-86.6188,75.2,53,40,12.66,scattered clouds
600,Tabalosos,PE,-6.35,-76.6833,80.6,78,75,3.44,moderate rain
601,Bobcaygeon,CA,44.5462,-78.542,46.4,100,90,6.91,overcast clouds
602,Isangel,VU,-19.55,169.2667,82.4,83,75,4.16,broken clouds
603,Kade,DE,52.3833,12.2667,36.0,100,97,5.75,overcast clouds
604,Papara,BR,-3.9839,-38.7273,82.4,89,0,5.75,clear sky
605,Neftcala,AZ,39.3742,49.2472,52.2,90,7,10.04,clear sky
